symbol,Date,signal
MDVN,11/07/14,-1
MYGN,11/05/14,-1
SGEN,10/31/14,1
OPK,11/10/14,-1
UTHR,10/28/14,1
VRTX,10/29/14,1
BIIB,10/22/14,1
BMRN,10/24/14,1
GILD,10/29/14,-1
AEGR,10/31/14,-1
AET,10/28/14,1
CYH,11/04/14,1
HUM,11/07/14,-1
ABC,10/30/14,1
AMSG,11/05/14,1
THC,11/04/14,1
CNC,10/28/14,1
HCA,10/28/14,1
HLS,10/28/14,1
EXAM,11/05/14,1
DVA,11/07/14,-1
AKRX,11/06/14,1
HSP,11/06/14,1
IPXL,11/04/14,-1
MYL,10/31/14,1
PRGO,11/06/14,-1
ENDP,11/05/14,1
ABBV,10/31/14,1
LCI,11/04/14,1
IDXX,10/24/14,1
NUVA,10/31/14,-1
VAR,10/23/14,-1
EW,10/24/14,1
GMED,10/31/14,1
SQNM,11/05/14,1
BIO,11/05/14,-1
LLL,10/30/14,-1
SPR,10/31/14,1
TDY,10/23/14,1
GD,10/22/14,1
TASR,10/30/14,1
OC,10/22/14,1
USG,10/23/14,-1
CLH,11/05/14,-1
TILE,10/23/14,-1
GNRC,11/06/14,-1
EMR,11/04/14,1
SCTY,11/06/14,1
CBI,10/24/14,1
CFX,10/23/14,-1
ITT,10/31/14,1
KMT,10/30/14,-1
MTW,10/28/14,-1
MIDD,11/06/14,1
SPXC,10/29/14,1
SWK,10/22/14,1
PH,10/28/14,1
PCAR,10/28/14,1
TNC,10/23/14,-1
TEX,10/30/14,-1
TKR,10/28/14,1
VMI,10/24/14,-1
CAT,10/23/14,1
FLS,10/24/14,-1
PRLB,10/23/14,-1
CMRE,11/03/14,-1
DRYS,11/06/14,1
JBLU,10/23/14,-1
UAL,10/23/14,1
AAL,10/23/14,-1
CHRW,10/29/14,1
ECHO,10/24/14,1
EXPD,11/04/14,1
CCI,10/31/14,-1
S,11/04/14,-1
SBAC,11/05/14,-1
AMT,10/30/14,1
TMUS,10/28/14,-1
CTL,11/06/14,-1
FTR,11/04/14,1
PNY,12/29/14,-1
ALB,01/29/15,-1
